HDD,RAM,RAM_frequincy,RAM_type,SSD,anti_glare,brand,cpu_brand,cpu_family,cpu_frequincy,cpu_modifier,cpu_number_identifier,gpu_brand,gpu_frequincy,gpu_number_modifier,gpu_vram,gpu_words_modifier,prix,screen_refresh_rate,screen_resolution,screen_size,state,touch_screen
0,8,2400,ddr4,256,1,dell,intel,u,1.9,i5,8365,0,0,0,0,0,98000,60,fhd,14,new,0
0,8,2400,ddr4,256,1,fujitsu,intel,u,3.6,i5,8365,0,0,0,0,0,98000,60,hd,12.5,used,0
0,8,3200,ddr4x,256,1,asus,intel,g1,1.2,i5,1035,0,0,0,0,0,130000,60,4k,13.3,used,0
0,8,2133,ddr4,256,1,dell,intel,u,2.2,i5,10310,0,0,0,0,0,128000,60,fhd,12.5,used,1
0,8,2667,ddr4,256,1,lenovo,intel,u,2.2,i5,10310,0,0,0,0,0,124000,60,fhd,13.3,used,1
0,8,3200,ddr4x,256,1,hp,intel,g4,3,i3,1115,0,0,0,0,0,118000,60,hd,15.6,new,0
0,8,2133,ddr4,256,1,dell,intel,u,2.7,i5,7300,0,0,0,0,0,85000,60,hd,14,used,0
0,8,3200,ddr4x,256,1,asus,intel,g1,1.2,i5,1035,0,0,0,0,0,115000,60,fhd,14,used,0
0,8,2667,ddr4,512,0,dynabook,intel,u,2.1,i5,10210,0,0,0,0,0,105000,60,fhd,15.6,used,0
0,8,2400,ddr4,256,1,dell,intel,u,1.8,i5,8250,0,0,0,0,0,94000,60,fhd,13.3,used,0
0,8,2400,ddr4,256,1,dell,intel,u,2.1,i7,8665,0,0,0,0,0,110000,60,fhd,14,used,0
0,16,2667,ddr4,512,1,lenovo,intel,u,2,i7,8565,0,0,0,0,0,140000,60,fhd,13.3,used,0
0,8,3200,ddr4x,512,1,dell,intel,g7,1.5,i7,1065,0,0,0,0,0,148000,60,fhd,14,used,0
0,8,2133,ddr4,256,1,dell,intel,u,2.7,i5,7300,0,0,0,0,0,65000,60,hd,12.5,used,0
0,8,2133,ddr4,256,1,lenovo,intel,u,2.5,i5,6200,0,0,0,0,0,74000,60,fhd,14,used,0
0,4,3200,ddr4x,256,1,hp,intel,g4,3,i3,1115,0,0,0,0,0,96000,60,fhd,14,new,0
0,4,2400,ddr4,128,1,hp,intel,n,1.1,pentium silver,5030,0,0,0,0,0,73800,60,hd,14,new,0
0,8,2133,ddr4,256,1,hp,intel,u,2,i5,7200,amd,0,wx 3100,4,radeon,105000,60,fhd,14,new,0
0,16,3200,ddr4x,512,1,hp,intel,h,3.1,i5,11300,nvidia,0,3050,4,geforce rtx,218000,60,fhd,17.3,new,0
0,16,3200,ddr4x,512,1,dell,intel,g7,2.6,i5,1145,0,0,0,0,0,138000,60,fhd,15.6,used,0
0,32,3200,ddr4x,1000,1,msi,intel,g7,3,i7,1185,nvidia,0,1650,4,geforce gtx,238000,60,4k,15.6,used,0
0,8,2667,ddr4,256,1,dell,intel,u,2.1,i5,10210,0,0,0,0,0,115000,60,fhd,14,used,0
0,8,3733,ddr4x,256,0,apple,intel,,1.1,i3,0,0,0,0,0,0,128000,60,3k,13.3,used,0
0,16,2133,ddr4,512,0,apple,intel,,2.3,i5,0,0,0,0,0,0,132000,60,3k,13.3,used,0
0,8,2667,ddr4,256,1,hp,intel,u,2.6,i3,10110,0,0,0,0,0,105000,60,fhd,14,new,0
0,8,2667,ddr4,256,1,lenovo,intel,u,2.2,i5,10310,0,0,0,0,0,135000,60,fhd,13.3,new,0
0,8,2667,ddr4,512,1,lenovo,intel,u,2.1,i5,10210,0,0,0,0,0,138000,60,hd,17.3,new,0
0,8,3200,ddr4x,256,1,hp,intel,g4,3,i3,1115,0,0,0,0,0,118000,60,hd,15.6,new,0
0,16,2667,ddr4,512,1,msi,intel,u,1.6,i7,10510,nvidia,0,1650,4,geforce gtx,208000,60,fhd,15.6,used,0
1000,12,2667,ddr4,128,0,hp,intel,h,2.2,i7,8750,nvidia,0,1070,8,geforce gtx,198000,144,fhd,15.6,used,0
0,16,2933,ddr4x,1000,1,acer,intel,h,2.6,i7,10750,nvidia,0,3060,6,geforce rtx,290000,120,fhd,17.3,used,0
500,4,1600,ddr3l,0,0,asus,intel,n,1.1,Pentium,4200,0,0,0,0,0,52000,60,hd,15.6,used,0
0,16,3200,ddr4x,512,1,lenovo,amd,h,3.2,ryzen5,5600,nvidia,0,3060,6,geforce rtx,258000,60,fhd,15.6,new,0
